brand_name,parent_company_name,id,link,country,sum,validated
æ—ºæ—º/want want,want want china,Q7968118,https://www.wikidata.org/wiki/Q7968118,"China, China, China, China, China, China, China, China, China, China, China, China, China, China, China",24,FALSE
aquamor,"(local factory), aguamor matawai kahingiru",,,"Indonesia, Indonesia",24,FALSE
boby,"boby, ud boby",,,"Vietnam, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia, Indonesia",24,FALSE
cazorla,sierra,,,Morocco,24,FALSE
ce-mercy,ce-mercy,,,Nigeria,24,FALSE
chai bora,"chai bora, chai bora ltd, mafinga",,,"Tanzania, Tanzania, Tanzania",24,FALSE
choco flakes,"liwayway holdings company limited, shri disnau shakti dham foods",,,"Philippines, Philippines",24,FALSE
cigarrete butts,tcc,,,Tanzania,24,FALSE
cocoa powder,cocoa powder,,,Kenya,24,FALSE
fume,qrjoy,,,United States of America,24,FALSE
hua hin,"hua hin dringing water, hua hin dringing water",,,"Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand, Thailand",24,FALSE
huye,huye,,,Rwanda,24,FALSE
implek,implek,,,Montenegro,24,FALSE
kituzi healthy drink,kituzi health drinks,,,Uganda,24,FALSE
la pasta,la pasta,,,"Cameroon, Cameroon, Cameroon",24,FALSE
lilas,lilas,,,"Tunisia, Tunisia, Tunisia, Tunisia, Tunisia",24,FALSE
marlboro kretek marlboro surya pro samtek gudang garam diplomat mentol gudang baru premium surya la menthol ares grendhel dunhill sampoerna geo mild surya pro mild la alami,marlboro kretek marlboro surya pro samtek gudang garam diplomat mentol gudang baru premium surya la menthol ares grendhel dunhill sampoerna geo mild surya pro mild la alami,,,Indonesia,24,FALSE
master chef rich short cake,niger biscuits co.,,,Nigeria,24,FALSE
maxima,"maxima, maxima, maxima grupė, sia maxima latvija",,,"Latvia, Latvia, Latvia, Latvia, Lithuania, Latvia, Latvia, Lithuania, Lithuania, Latvia",24,FALSE
maziwa lala 1000 mls bottle,maziwa lala 1000 mls bottle,,,Kenya,24,FALSE
migid,migid,,,"Nigeria, Nigeria",24,FALSE
niceone,"france international trade co. ltd, prance international trade co ltd, prance international trade co ltd, product of germany",,,"Tanzania, Tanzania, Tanzania, Tanzania",24,FALSE
prephil water,prephil water,,,Nigeria,24,FALSE
seaway youghurt,seaway youghurt,,,Nigeria,24,FALSE
sierra de los padres,"nutreco alimentos, sierra de los padres",,,"Argentina, Argentina, Argentina, Argentina, Argentina, Argentina, Argentina",24,FALSE
soticam,soticam,,,"Cameroon, Cameroon",24,FALSE
straw string,straw string,,,"Philippines, Philippines",24,FALSE
zhivchik,"obolon, obolon company, obolon corporation",,,"Ukraine, Ukraine, Ukraine, Ukraine",24,FALSE
arnotts,campbell soup company,Q1030544,https://www.wikidata.org/wiki/Q1030544,"Australia, Australia, Australia, Australia, Australia, Australia",23,TRUE
subway (plastic bag),subway,Q244457,https://www.wikidata.org/wiki/Q244457,Australia,23,TRUE
chupa chup,perfetti van melle,Q612524,https://www.wikidata.org/wiki/Q612524,"Australia, Australia, Netherlands, Bangladesh, United Kingdom of Great Britain & Northern Ireland, Australia, India, India, France",23,TRUE
pedigree,"mars, incorporated",Q695087,https://www.wikidata.org/wiki/Q695087,"Australia, Mexico, Mexico, Thailand, Thailand, India, India, Philippines, Philippines, India, India, India",23,TRUE
rabina,suntory,Q1345267,https://www.wikidata.org/wiki/Q1345267,Nigeria,23,FALSE
**chuckie,nestlé,Q160746,https://www.wikidata.org/wiki/Q160746,Philippines,23,FALSE
climax,"coventry climax, verumona",Q173016,https://www.wikidata.org/wiki/Q173016,"Nigeria, Nigeria, Nigeria, Nigeria",23,FALSE
pieno žvaigždės,pieno žvaigždės,Q2092661,https://www.wikidata.org/wiki/Q2092661,"Lithuania, Lithuania, Lithuania, Lithuania",23,FALSE
raffaello,ferrero spa,Q269792,https://www.wikidata.org/wiki/Q269792,"Austria, Slovenia, Slovenia, Switzerland, Switzerland, Latvia, Switzerland, Germany, Germany, Lithuania, Latvia",23,FALSE
flag spã©ciale,société des brasseries du maroc,Q2924068,https://www.wikidata.org/wiki/Q2924068,"Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco, Morocco",23,FALSE
schneider,"ccu, schneider",Q2990393,https://www.wikidata.org/wiki/Q2990393,"Argentina, Argentina, Burkina Faso, Argentina",23,FALSE
cicam,cicam,Q2998587,https://www.wikidata.org/wiki/Q2998587,"Cameroon, Cameroon, Cameroon",23,FALSE
villavicencio,"danone, villavicencio",Q329426,https://www.wikidata.org/wiki/Q329426,"Argentina, Argentina, Argentina, Argentina, Argentina, Argentina, Argentina",23,FALSE
modess,johnson & johnson,Q333718,https://www.wikidata.org/wiki/Q333718,"Philippines, Philippines, Philippines, Philippines",23,FALSE
premiere mineral,pepsico,Q334800,https://www.wikidata.org/wiki/Q334800,Philippines,23,FALSE
sandora,pepsico,Q334800,https://www.wikidata.org/wiki/Q334800,"Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine, Ukraine",23,FALSE
con puffs,norda,Q3878374,https://www.wikidata.org/wiki/Q3878374,Kenya,23,FALSE
voda,"agrokor, rajec, saguaro, voda",Q397347,https://www.wikidata.org/wiki/Q397347,"Slovenia, Slovenia, Czech Republic, Czech Republic, Indonesia",23,FALSE
choco break,colombiana,Q54850298,https://www.wikidata.org/wiki/Q54850298,Ecuador,23,FALSE
wiggles,jg summit holdings,Q6108205,https://www.wikidata.org/wiki/Q6108205,"Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines, Philippines",23,FALSE
