brand_name,parent_company_name,id,validated,brand_total_count,brand_frequency
africafe,"africafe, africatee and cofees","africafe, africatee and cofees",false,2,1
african fruit,bakhresa group,q27961785,false,81,5
african fruiti,african fruit,african fruit,false,17,1
african fruits,bakhresa group,q27961785,false,60,5
african fruti,bakhresa group,q27961785,false,20,5
african frutti,bakhresa group,q27961785,false,5,3
african pride,gudrei consumer goods,gudrei consumer goods,false,1,1
african pride tea bag,african pride tea bag,african pride tea bag,false,345,1
afriquia,afriquia,afriquia,false,1,1
afriquia gaz,afriquia,afriquia,false,15,2
afro care,unbranded,unbranded,true,350,2
afro- lait,afro- lait,afro- lait,false,2,1
afroa premium gin,afroa premium gin,afroa premium gin,false,1,1
afroditi,afroditi,afroditi,false,2,1
after eight,nestlé,q160746,false,3,2
afya,oilcom group,http://oilcomgroup.co.tz/,true,6453,36
afya drinking water,watercom,q67808808,false,12,1
afya mango,afya mango,afya mango,false,23,3
afya water,watercom ltd,https://www.oilcomtz.com/pages/about-us,true,654,5
aga,aga,aga,false,2,1
agad,agad company ltd,agad company ltd,false,242,1
agar-agar lumba lumba,ethoz,ethoz,false,1,1
agarwal,agarwalsweets,agarwalsweets,false,1,1
agbara bitters,agbara bitters,agbara bitters,false,8,2
agd,agd,agd,false,4,1
agelanggeng,agelanggeng,agelanggeng,false,4,1
ageless,unbranded,unbranded,true,1,1
agentx,unbranded,unbranded,false,1,1
agi,agi,agi,false,1,1
